,time_s,time_l,test_score,nodes,type,upper_s,upper_l,bi_s,bi_l,tri_s,tri_l,real
110,0.41158572991844267,7.23725730499973,0.001154620326828222,"(41, 20)",schedu,-4.665362717460686,-4.592107612083781,6.27359893160912,24.226789003577736,7.154417594241813,26.908536303999405,
111,0.3905274739995548,,0.05088503447016138,"(41, 20)",integr,-4.612815913757273,,6.296238067351621,,7.164962234383776,,
112,,,0.0590757806224087,"(41, 22)",integr,,,,,,,
113,0.3324589389999346,,0.0020062232308162356,"(41, 29)",schedu,-4.652572384710042,,6.282306160484971,,7.256004771503649,,
114,,,0.05856190664982916,"(41, 31)",integr,,,,,,,
115,0.17425675399999818,,0.17478949031858027,"(42, 1)",schedu,-4.637911528542101,,6.380089361172557,,7.223247689168364,,
116,0.26385403890162706,171.92660091700964,0.05727931580868289,"(42, 1)",integr,-4.640274577112892,-4.334085613594478,6.329058655686148,-2.190666932773197,7.1585781480293065,7.776107843661405,
117,0.6927591920830309,,0.05120041500383065,"(42, 16)",integr,-4.597403335367397,,6.0839038740835205,,7.123478018032811,,
118,0.7514932639999188,,0.06138886058854714,"(42, 18)",integr,-4.665498571396996,,6.061058380793353,,7.225591251018068,,
119,1.2353676579998591,,0.04176891147868944,"(42, 19)",integr,-4.67571344583107,,6.009321710424926,,6.892758276032947,,
120,1.0098539959872141,105.10489004594274,0.00045439684917609265,"(42, 20)",schedu,-4.651833934418979,-4.426772605594065,6.16705734182867,-2.564579500895661,7.076099957657643,-2.436838088606177,-0.8978956446707099
121,1.7614388540387154,7225.688216037117,0.03964710356396096,"(42, 20)",integr,-4.678180556793855,-4.278179456002635,6.029294426588938,-2.327669211868464,6.899484619022444,-2.1692842106236108,
122,0.4535817229998429,,0.05146001996409391,"(42, 21)",integr,-4.668058855577296,,6.198385032070856,,7.10720144244425,,
123,0.9972229758277535,,0.01243015084937625,"(42, 28)",integr,-4.624409319459279,,6.217890936814667,,16.8212537964423,,
124,4.647857004776597,,0.06310045923836176,"(42, 40)",integr,-4.647377156650338,,6.047469332476296,,7.028462380018033,,
125,,,0.021495451275446695,"(43, 2)",integr,,,,,,,
126,0.5772594949999075,,0.0586573346677573,"(43, 20)",integr,-4.6569293291398255,,6.251101025697034,,7.157577237291444,,
127,0.47925943695008755,,0.08453072764412736,"(44, 11)",integr,-4.675468977035727,,6.321555378685131,,7.228343936413213,,
128,0.6961223060000066,,0.06740390991486586,"(44, 19)",integr,-4.624432804828783,,6.120778073437763,,7.085108103138758,,
129,0.5893161060002967,,0.059825408997560954,"(44, 20)",integr,-4.672482973386505,,6.176108260252895,,7.115568956064768,,
130,,3.9625328429974616,0.0627144856281029,"(45, 2)",integr,,-4.437203272941102,,-2.456718984153075,,-2.198897839751644,-1.6233677207369077
131,0.49710154100012005,,0.18869858548603954,"(45, 18)",schedu,-4.669648961614583,,6.354662896168565,,7.240330045172181,,
132,0.44567599333822727,,0.059019239468152025,"(46, 13)",integr,-4.610524326902581,,6.147618002713371,,7.064237666179422,,
133,1.1537778824567795,,0.0010595478161788702,"(47, 16)",schedu,-4.662693622878188,,15.172515702968157,,16.85109285496626,,
134,1.6143623259849846,,0.059390033112624,"(47, 19)",integr,-4.5688304218993725,,6.0286475142297915,,6.989193161706146,,
135,,,0.003018699887800147,"(47, 20)",schedu,,,,,,,
136,0.3512449520640075,,0.029322421271662596,"(48, 3)",integr,-4.637969244988644,,6.3589564308716024,,7.261718005440354,,
137,0.6409685015678406,,0.004692455741321651,"(48, 21)",schedu,-4.670271726251931,,6.238641145757286,,7.11973470639314,,
138,1.1538376994431019,,0.0011765909349691385,"(48, 23)",schedu,-4.683829550323728,,14.94932723618701,,16.636868636406344,,
139,0.7895585801452398,,0.061030612122318,"(48, 38)",integr,-4.64071750991574,,6.200533731073566,,7.073334762818109,,
140,1.0621522702276707,,0.0009398905370047557,"(49, 16)",schedu,-4.688482692992206,,5.964047183203049,,6.80554756445224,,
141,0.4542733207345009,,0.005852861270945565,"(50, 16)",schedu,-4.652552668247787,,6.339797414822701,,7.176164102215148,,
142,,,0.007756580937663739,"(50, 20)",schedu,,,,,,,
143,,249.6517807841301,0.054792130979126816,"(51, 8)",integr,,-4.477575718845409,,6.562179554509692,,36.75376465743114,
144,1.1379266493022442,,0.006407780777222884,"(51, 16)",schedu,-4.677091682035737,,6.135481455682032,,7.032789938148808,,
145,1.8404545411467552,,0.06083045381260143,"(51, 39)",integr,-4.68224893778691,,6.022714199936568,,6.98949682872282,,
146,1.536205817013979,,0.1998300063838191,"(52, 26)",schedu,-4.668091447855244,,6.083327953399623,,6.922128518817162,,
